LANGUAGE;Français;English
HERO_WEAPON_DAMAGES;dégâts infligés par "%s" (entrez un nombre) : ;"%s"'s damages (enter a number) : 
DAMAGES;dégâts;damages
KNIGHT;Chevalier;Knight
KNIGHT_WEAPON;épée;sword
KNIGHT_DESCRIPTION;\tUn preux chevalier qui n'hésite pas à charger, doublant ses dégâts pour\n\t\tun tour (3 tour de rechargement);\tA knight in his shiny armor, who can charge the opponent to double\n\t\this damage for one turn (once every 3 turns)
ORC;Orc;Orc;
ORC_WEAPON;hache;axe
ORC_DESCRIPTION;\tUn guerrier sauvage, capable d'assommer un adversaire pendant un tour\n\t\td'un brutal coup de son imposante hache (5 tour de rechargement);\tA fierce warrior with hurging bloodthirst, who can stun for one turn the\n\t\tennemy with a brutal blow (once every 5 turns)
ELF;Elfe;Elf
ELF_WEAPON;arc long;longbow
ELF_DESCRIPTION;\tUn agile esprit des bois, capable d'handicaper un adversaire, réduisant\n\t\tnotablement ses dégâts pour 3 tours(4 tour de rechargement);\tA graceful and skillful spirit of the wood, who can creeple the damages\n\t\tof the opponent for 3 turns (once every 4 turns)
HERO_CLASS;Classe : ;Class : 
GAME_OVER;\n                      _____  _____\n                     <     `/     |\n                      >          (\n                     |   _     _  |\n                     |  |_) | |_) |\n                     |  | \ | |   |\n                     |            |\n      ______.______%%_|            |__________  _____\n    _/                                       \|     |\n   |     %s   <\n   |_____.-._________              ____/|___________|\n                     |  MORT AVEC |\n                     |  HONNEUR   |\n                     |            |\n                     |            |\n                     |   _        <\n                     |__/         |\n                      / `--.      |\n                    %%|            |%%\n                |/.%%%%|          -< @%%%%%%\n                `\%%`@|     v      |@@%%@%%%%    \n              .%%%%%%@@@|%%    |    %% @@@%%%%@%%%%%%%%\n         _.%%%%%%%%%%%%@@@@@@%%%%_/%%\_%%@@%%%%@@@@@@@%%%%%%%%%%%%;\n                      _____  _____\n                     <     `/     |\n                      >          (\n                     |   _     _  |\n                     |  |_) | |_) |\n                     |  | \ | |   |\n                     |            |\n      ______.______%%_|            |__________  _____\n    _/                                       \|     |\n   |     %s   <\n\n   |_____.-._________              ____/|___________|\n                     |  DIED WITH |\n                     |    HONOR   |\n                     |            |\n                     |            |\n                     |   _        <\n                     |__/         |\n                      / `--.      |\n                    %%|            |%%\n                |/.%%%%|          -< @%%%%%%\n                `\%%`@|     v      |@@%%@%%%%    \n              .%%%%%%@@@|%%    |    %% @@@%%%%@%%%%%%%%\n         _.%%%%%%%%%%%%@@@@@@%%%%_/%%\_%%@@%%%%@@@@@@@%%%%%%%%%%%%
